Declaratie;VersiuneJ;VersiuneP
N012;J1.0.0;J1.0.0
N014;J1.0.0;J1.0.0
B900;J1.0.0;J1.0.0
DAC6;J1.2.2;J1.2.2
D5;J1.2.3;J1.2.3
D6;J1.0.0;J1.0.0
D7;J1.1.0;J1.1.0
D8;J2.0.1;J2.0.1
D9;J1.0.0;J1.0.0
D10;J1.0.0;J1.0.0
D177;J1.1.4;J1.1.4
D112;J23.0.5;J23.0.5
D114;J1.0.1;J1.0.1
D120;J4.0.1;J4.0.1
D207;J2.0.1;J2.0.1
D205;J8.0.0;J8.0.0
S1001;J14.0.3;J14.0.3
S1100;J3.1.4;J3.1.4
S1002;J13.0.1;J13.0.1
S1003;J13.0.0;J13.0.0
S1004;J13.0.1;J13.0.1
S1005;J13.0.0;J13.0.0
S1006;J1.1.0;J1.1.0
S1007;J1.1.0;J1.1.0
S1008;J1.1.0;J1.1.0
S1009;J1.1.0;J1.1.0
S1014;J12.0.0;J12.0.0
S1015;J12.0.0;J12.0.0
S1016;J5.0.1;J5.0.1
S1017;J5.0.1;J5.0.1
S1019;J12.0.1;J12.0.1
S1018;J4.0.0;J4.0.0
S1010;J8.1.2;J8.1.2
S1011;J8.1.1;J8.1.1
S1020;J8.1.4;J8.1.4
S1021;J8.1.4;J8.1.4
S1022;J8.1.4;J8.1.4
S1023;J10.0.1;J10.0.1
S1024;J6.0.2;J6.0.2
S1025;J5.2.0;J5.2.0
S1026;J9.0.0;J9.0.0
S1044;J8.0.1;J8.0.1
S1027;J13.0.0;J13.0.0
S1055;J1.0.0;J1.0.0
S1056;J4.0.2;J4.0.2
S1057;J3.1.4;J3.1.4
S1058;J2.3.0;J2.3.0
S1059;J4.0.0;J4.0.0
S1060;J4.0.0;J4.0.0
S1061;J2.1.1;J2.1.1
S1070;J1.1.1;J1.1.1
S1072;J1.0.2;J1.0.2
S1073;J1.0.0;J1.0.0
S1074;J2.0.0;J2.0.0
S1075;J1.0.1;J1.0.1
S1076;J1.0.1;J1.0.1
S1077;J1.0.0;J1.0.0
S1078;J1.0.0;J1.0.0
S1050;J10.0.0;J10.0.0
S1051;J3.0.1;J3.0.1
S1052;J3.0.1;J3.0.1
S1053;J1.1.0;J1.1.0
S1054;J1.1.0;J1.1.0
S1046;J1.2.0;J1.2.0
S1047;J2.2.1;J2.2.1
S1048;J2.2.1;J2.2.1
S1049;J2.2.1;J2.2.1
S1012;J6.2.1;J6.2.1
S1028;J4.0.1;J4.0.1
S1029;J7.0.0;J7.0.0
S1031;J10.1.1;J10.1.1
S1032;J10.1.1;J10.1.1
S1033;J10.1.1;J10.1.1
S1034;J9.1.0;J9.1.0
S1035;J6.0.0;J6.0.0
S1036;J6.0.0;J6.0.0
S1037;J1.2.0;J1.2.0
S1038;J3.0.0;J3.0.0
S1013;J6.1.3;J6.1.3
S1030;J2.0.7;J2.0.7
S1039;J1.0.5;J1.0.5
S1040;J11.0.6;J11.0.6
S1041;J3.0.1;J3.0.1
S1042;J5.0.0;J5.0.0
S1043;J2.3.0;J2.3.0
S1045;J10.1.1;J10.1.1
D017;J1.0.6;J1.0.6
D085;J1.1.0;J1.1.0
D092;J1.0.0;J1.0.0
D100;J18.0.3;J18.0.3
D101;J10.0.2;J10.0.2
D101G;J1.0.1;J1.0.1
D130;J1.0.0;J1.0.0
D163;J1.0.2;J1.0.2
C168;J2.0.9;J2.0.9
D169;J1.0.0;J1.0.0
D169n;J1.0.0;J1.0.0
D179;J1.1.1;J1.1.1
D180;J1.0.2;J1.0.2
D104;J1.2.0;J1.2.0
D106;J1.0.1;J1.0.1
D107;J1.0.1;J1.0.1
D108;J1.0.0;J1.0.0
D110;J1.0.1;J1.0.1
D200;J4.1.2;J4.1.2
D201;J2.1.0;J2.1.0
D212;J12.0.0;J12.0.0
D220;J2.1.0;J2.1.0
D221;J1.0.1;J1.0.1
D204;J3.0.11;J3.0.11
D216;J1.0.3;J1.0.3
D223;J1.1.0;J1.1.0
D208;J7.0.1;J7.0.1
D600;J3.0.0;J3.0.0
D603;J1.0.0;J1.0.0
D230;J7.0.0;J7.0.0
D300;J9.0.3;J9.0.3
D301;J1.2.5;J1.2.5
D307;J1.1.0;J1.1.0
C310;J1.0.0;J1.0.0
D311;J2.0.0;J2.0.0
D318;J1.2.3;J1.2.3
D390;J4.1.1;J4.1.1
D392;J2.0.0;J2.0.0
D393;J1.0.0;J1.0.0
D394;J6.0.1;J6.0.1
D395;J1.0.6;J1.0.6
D700;J4.0.2;J4.0.2
D119;J1.0.0;J1.0.0
D710;J17.0.1;J17.0.1
T100;J1.0.0;J1.0.0
T101;J1.0.0;J1.0.0
P1000;J3.0.0;J3.0.0
P2000;J1.3.5;J1.3.5
F3000;J3.2.1;J3.2.1
P4000;J3.0.1;J3.0.1
C801;J1.0.5;J1.0.5
C802;J1.0.0;J1.0.0
F4101;J2.0.0;J2.0.0
F4102;J1.0.4;J1.0.4
F4103;J2.0.0;J2.0.0
F4105;J2.0.0;J2.0.0
F4109;J1.0.2;J1.0.2
F7000;J1.0.2;J1.0.2
P5000;J1.0.0;J1.0.0
D398;J1.0.9;J1.0.9
D399;J1.0.5;J1.0.5
D401;J1.5.0;J1.5.0
D402;J1.0.1;J1.0.1
D403;J2.1.0;J2.1.0
R404;J1.0.10;J1.0.10
R405;J1.0.5;J1.0.5
D406;J2.2.6;J2.2.6
L153;J1.1.5;J1.1.5
A4200;J1.0.4;J1.0.4
A4201;J1.0.1;J1.0.1
A4202;J1.0.0;J1.0.0
A4203;J1.0.7;J1.0.7
S1110;J2.0.0;J2.0.0
S1120;J3.0.2;J3.0.2
S1121;J3.0.2;J3.0.2
S1122;J3.0.2;J3.0.2
S1123;J1.0.1;J1.0.1
S1124;J1.0.1;J1.0.1
S1125;J1.0.2;J1.0.2
S1126;J1.0.0;J1.0.0
S1127;J1.0.0;J1.0.0
S1128;J1.0.0;J1.0.0
